PDEshL	 -11.7179487179487 -0.538461538461538
RMER	 1.89711934156379 -0.00411522633744856
BAGR	 1.92592592592593 0.0534979423868313
OLQVR	 1.92181069958848 0.127572016460905
URAVR	 1.90534979423868 0.189300411522634
IL1VR	 1.88477366255144 0.222222222222222
CEPshVR	 1.80246913580247 0.201646090534979
CEPVR	 1.76543209876543 0.251028806584362
RMEV	 1.58024691358025 0.292181069958848
GLRVR	 1.44855967078189 0.193415637860082
GLRR	 1.40740740740741 0.135802469135802
RMDR	 1.47736625514403 0.0864197530864197
AVAR	 1.52674897119342 -0.00411522633744856
RMDVR	 1.63374485596708 -0.0329218106995885
SAAVR	 1.58847736625514 -0.0452674897119342
SMDVR	 1.5761316872428 -0.0823045267489712
GLRDR	 1.65432098765432 -0.131687242798354
RID	 1.65843621399177 -0.275720164609054
CEPDR	 1.61316872427984 -0.209876543209877
ALA	 1.58024691358025 -0.222222222222222
URXR	 1.56378600823045 -0.168724279835391
ASKR	 1.48971193415638 -0.160493827160494
RIAR	 1.51028806584362 -0.0781893004115226
AFDR	 1.45267489711934 -0.0164609053497942
AVER	 1.41152263374486 0.0534979423868313
SIBDR	 1.34156378600823 0.123456790123457
SAADR	 1.31687242798354 0.193415637860082
RMDDR	 1.2962962962963 0.205761316872428
R1H	 1.2880658436214 0.213991769547325
SMDDR	 1.18930041152263 0.246913580246914
RMFR	 1.19753086419753 0.205761316872428
RMHR	 1.21399176954733 0.168724279835391
SIBVR	 1.23045267489712 0.164609053497942
AIBR	 1.26748971193416 0.102880658436214
AWCR	 1.32098765432099 0.0699588477366255
ASHR	 1.31687242798354 -0.0164609053497942
ADFR	 1.39917695473251 -0.0534979423868313
AWAR	 1.31687242798354 -0.0905349794238683
AWBR	 1.39094650205761 -0.11522633744856
ADLR	 1.39917695473251 -0.193415637860082
ASGR	 1.34567901234568 -0.172839506172839
ASIR	 1.2962962962963 -0.197530864197531
AVHR	 1.28395061728395 -0.213991769547325
RIVR	 1.2798353909465 -0.283950617283951
AVJR	 1.22633744855967 -0.164609053497942
AVBR	 1.20576131687243 -0.106995884773663
ASER	 1.20576131687243 -0.0123456790123457
